origem,destino,peso
0,1,18
0,2,1
0,3,13
0,4,1
0,5,7
0,6,17
0,9,9
0,11,8
0,14,8
0,16,12
0,17,2
0,19,20
1,0,2
1,2,17
1,3,12
1,8,14
1,9,4
1,10,5
1,11,8
1,12,9
1,14,9
1,15,7
1,16,14
1,17,8
2,0,2
2,5,1
2,7,9
2,9,20
2,11,14
2,12,20
2,15,1
2,16,5
2,17,3
3,1,10
3,5,3
3,7,12
3,8,6
3,11,9
3,12,6
3,13,3
3,14,12
3,17,1
3,18,10
4,1,1
4,3,7
4,6,12
4,7,8
4,11,11
4,17,2
4,18,1
4,19,9
5,1,14
5,6,2
5,8,4
5,11,8
5,14,13
5,17,4
5,19,9
6,4,11
6,5,17
6,8,8
6,14,15
6,16,15
6,18,5
6,19,11
7,0,3
7,1,15
7,2,1
7,3,6
7,4,3
7,5,8
7,6,8
7,8,13
7,10,6
7,12,8
7,16,14
7,17,19
7,19,20
8,4,9
8,6,19
8,7,13
8,9,10
8,10,13
8,12,13
8,15,16
8,18,10
8,19,6
9,0,14
9,3,2
9,4,8
9,5,2
9,6,9
9,8,7
9,12,2
9,14,1
9,15,4
9,16,12
9,17,13
9,19,7
10,0,6
10,1,15
10,3,2
10,5,14
10,7,6
10,8,18
10,11,16
10,12,11
10,14,16
10,16,19
10,17,2
10,19,11
11,0,18
11,3,6
11,5,1
11,8,16
11,10,14
11,14,1
11,15,5
11,17,14
11,19,20
12,0,19
12,2,17
12,3,4
12,4,18
12,5,10
12,7,14
12,9,4
12,10,8
12,16,10
12,18,12
12,19,13
13,0,9
13,1,7
13,3,4
13,4,20
13,6,18
13,8,9
13,14,3
13,15,15
13,16,8
14,3,1
14,4,13
14,6,17
14,10,10
14,11,13
14,13,5
14,15,2
15,1,19
15,7,5
15,8,11
15,9,11
15,12,16
15,14,16
15,16,7
15,17,10
15,18,3
15,19,2
16,0,10
16,3,20
16,4,12
16,8,19
16,19,10
17,1,7
17,3,15
17,5,11
17,7,17
17,8,8
17,10,17
17,11,12
17,14,3
17,15,2
17,18,16
17,19,17
18,0,14
18,3,7
18,4,2
18,5,1
18,6,12
18,9,2
18,13,7
18,16,1
19,0,11
19,1,19
19,2,3
19,3,2
19,4,9
19,5,18
19,7,3
19,8,12
19,10,17
19,11,2
19,15,12
19,17,16
19,18,8
